Week,Cycle Phase,Starting BTC (BTC),BTC Growth (BTC),Net BTC Holdings (BTC),BTC Price USD,BTC Price EUR,Portfolio Value EUR,Contribution EUR,Contribution Fee EUR,Net Contribution BTC,Withdrawal EUR,Portfolio (Pre-Withdrawal) EUR
1,Bull,0.00000000,0.00469014,0.00469014,76532.03,71177.69,333.83,378.00,2.46,0.00527613,0,0.00
2,Bull,0.00469014,0.00001813,0.00535330,98600.00,93018.87,497.40,60.00,0.21,0.00064503,0,436.27
3,Bull,0.00535330,0.00001562,0.00603193,95926.03,90496.26,545.87,60.00,0.21,0.00066301,0,484.45
4,Bull,0.00603193,0.00001753,0.00673394,92917.83,87658.33,590.29,60.00,0.21,0.00068448,0,528.75
5,Bull,0.00673394,-0.00001789,0.00748917,82264.27,77607.80,581.22,60.00,0.21,0.00077312,0,522.61
6,Bull,0.00748917,-0.00002676,0.00811150,97982.90,92436.70,749.80,60.00,0.21,0.00064909,0,692.27
7,Bull,0.00811150,0.00002311,0.00881796,93072.52,87804.27,774.25,60.00,0.21,0.00068334,0,712.22
8,Bull,0.00881796,0.00002358,0.00960825,82950.51,78255.20,751.90,60.00,0.21,0.00076672,0,690.05
9,Bull,0.00960825,0.00002557,0.01049829,73571.40,69406.98,728.65,60.00,0.21,0.00086447,0,666.88
10,Bull,0.01049829,0.00003789,0.01125470,88514.70,83504.44,939.82,60.00,0.21,0.00071852,0,876.65
11,Bull,0.01125470,-0.00003516,0.01190959,92167.42,86950.40,1035.54,60.00,0.21,0.00069005,0,978.60
12,Bull,0.01190959,0.00003238,0.01270340,83527.63,78799.65,1001.02,60.00,0.15,0.00076142,0,938.47
13,Bull,0.01270340,0.00004253,0.01342824,93212.80,87936.61,1180.83,60.00,0.15,0.00068231,0,1117.09
14,Bull,0.01342824,0.00004495,0.01408464,104014.36,98126.76,1382.08,60.00,0.15,0.00061145,0,1317.67
15,Bull,0.01408464,0.00005658,0.01459783,139289.78,131405.45,1918.23,60.00,0.15,0.00045660,0,1850.80
16,Bull,0.01459783,0.00004974,0.01504957,158208.62,149253.42,2246.20,60.00,0.15,0.00040200,0,2178.78
17,Bull,0.01504957,-0.00004612,0.01539696,161621.75,152473.35,2347.63,60.00,0.15,0.00039351,0,2294.66
18,Bull,0.01539696,0.00005144,0.01580178,179976.43,169789.09,2682.97,60.00,0.15,0.00035338,0,2614.24
19,Bull,0.01580178,0.00004957,0.01618931,188181.99,177530.18,2874.09,60.00,0.15,0.00033797,0,2805.29
20,Bull,0.01618931,-0.00004277,0.01653032,165721.51,156341.05,2584.37,60.00,0.15,0.00038378,0,2531.05
21,Bull,0.01653032,0.00004944,0.01696472,165211.85,155860.23,2644.13,60.00,0.15,0.00038496,0,2576.42
22,Bull,0.01696472,0.00005466,0.01737783,177428.10,167385.00,2908.79,60.00,0.15,0.00035846,0,2839.64
23,Bull,0.01737783,0.00005003,0.01780136,170282.95,160644.29,2859.69,60.00,0.15,0.00037350,0,2791.65
24,Bull,0.01780136,0.00006048,0.01819165,192834.43,181919.27,3309.41,60.00,0.15,0.00032982,0,3238.41
25,Bull,0.01819165,-0.00006988,0.01837936,246911.87,232935.72,4281.21,60.00,0.15,0.00025758,0,4237.49
26,Bull,0.01837936,0.00005417,0.01869570,242586.84,228855.51,4278.61,60.00,0.15,0.00026217,0,4206.22
27,Bull,0.01869570,0.00004571,0.01906313,197687.89,186498.01,3555.24,60.00,0.15,0.00032172,0,3486.71
