Week,Cycle Phase,Starting BTC (BTC),BTC Growth (BTC),Net BTC Holdings (BTC),BTC Price USD,BTC Price EUR,Portfolio Value EUR,Contribution EUR,Contribution Fee EUR,Net Contribution BTC,Withdrawal EUR,Portfolio (Pre-Withdrawal) EUR
1,Bull,0.00000000,0.00469014,0.00469014,76532.03,71177.69,333.83,378.00,2.46,0.00527613,0,0.00
2,Bull,0.00469014,0.00001721,0.00538683,93600.91,88302.75,475.67,60.00,0.21,0.00067948,0,414.15
3,Bull,0.00538683,-0.00001601,0.00605679,92716.15,87468.07,529.78,60.00,0.21,0.00068596,0,471.18
4,Bull,0.00605679,0.00001804,0.00676581,92042.67,86832.71,587.49,60.00,0.21,0.00069098,0,525.93
5,Bull,0.00676581,0.00003164,0.00724071,143482.23,135360.59,980.11,60.00,0.21,0.00044326,0,915.82
6,Bull,0.00724071,-0.00002187,0.00765906,144471.64,136294.00,1043.88,60.00,0.21,0.00044022,0,986.87
7,Bull,0.00765906,0.00002923,0.00803434,183787.50,173384.43,1393.03,60.00,0.15,0.00034605,0,1327.96
8,Bull,0.00803434,0.00003955,0.00828478,301596.36,284524.87,2357.22,60.00,0.15,0.00021088,0,2285.97
9,Bull,0.00828478,0.00001990,0.00856803,241503.02,227833.04,1952.08,60.00,0.15,0.00026335,0,1887.55
10,Bull,0.00856803,0.00002697,0.00884600,253380.27,239037.99,2114.53,60.00,0.15,0.00025101,0,2048.08
11,Bull,0.00884600,0.00002613,0.00912702,249525.90,235401.79,2148.52,60.00,0.15,0.00025488,0,2082.36
12,Bull,0.00912702,-0.00002957,0.00933348,269455.98,254203.75,2372.61,60.00,0.15,0.00023603,0,2320.12
13,Bull,0.00933348,0.00002447,0.00962802,235500.86,222170.62,2139.06,60.00,0.15,0.00027006,0,2073.63
14,Bull,0.00962802,0.00003485,0.00988672,284107.59,268026.03,2649.90,60.00,0.15,0.00022386,0,2580.56
15,Bull,0.00988672,0.00002550,0.01017259,244276.22,230449.27,2344.26,60.00,0.15,0.00026036,0,2278.39
16,Bull,0.01017259,-0.00003238,0.01038559,259185.49,244514.61,2539.43,60.00,0.15,0.00024538,0,2487.35
17,Bull,0.01038559,0.00003695,0.01062945,307388.26,289988.92,3082.42,60.00,0.15,0.00020690,0,3011.71
18,Bull,0.01062945,0.00002995,0.01087971,288676.69,272336.50,2962.94,60.00,0.15,0.00022032,0,2894.79
19,Bull,0.01087971,-0.00003873,0.01102664,342556.80,323166.79,3563.44,60.00,0.15,0.00018566,0,3515.96
20,Bull,0.01102664,0.00003099,0.01125581,320921.32,302755.97,3407.76,60.00,0.15,0.00019818,0,3338.38
21,Bull,0.01125581,-0.00003639,0.01140332,345841.41,326265.48,3720.51,60.00,0.15,0.00018390,0,3672.38
22,Bull,0.01140332,0.00004110,0.01159748,415523.95,392003.73,4546.26,60.00,0.15,0.00015306,0,4470.14
23,Bull,0.01159748,-0.00003254,0.01172857,388671.25,366670.99,4300.53,60.00,0.15,0.00016363,0,4252.46
24,Bull,0.01172857,0.00004151,0.01190879,458515.83,432562.10,5151.29,60.00,0.15,0.00013871,0,5073.34
25,Bull,0.01190879,0.00003335,0.01209074,428000.38,403773.95,4881.92,60.00,0.09,0.00014860,0,4808.46
26,Bull,0.01209074,0.00004014,0.01226515,473680.82,446868.70,5480.91,60.00,0.15,0.00013427,0,5402.97
27,Bull,0.01226515,0.00003139,0.01245393,404086.18,381213.38,4747.60,60.00,0.09,0.00015739,0,4675.64
28,Bull,0.01245393,0.00003224,0.01266857,348677.09,328940.65,4167.21,60.00,0.15,0.00018240,0,4096.60
29,Bull,0.01266857,-0.00003739,0.01281660,343009.59,323593.95,4147.37,60.00,0.15,0.00018542,0,4099.47
30,Bull,0.01281660,0.00003416,0.01305948,304703.42,287456.06,3754.03,60.00,0.15,0.00020873,0,3684.21
31,Bull,0.01305948,0.00003844,0.01331068,298935.28,282014.41,3753.80,60.00,0.15,0.00021276,0,3682.96
32,Bull,0.01331068,0.00005235,0.01352531,391901.89,369718.76,5000.56,60.00,0.15,0.00016229,0,4921.21
33,Bull,0.01352531,0.00003463,0.01375008,334503.82,315569.64,4339.11,60.00,0.09,0.00019013,0,4268.18
34,Bull,0.01375008,0.00004516,0.01396892,366168.89,345442.35,4825.46,60.00,0.15,0.00017369,0,4749.86
35,Bull,0.01396892,0.00004628,0.01417249,404344.45,381457.03,5406.20,60.00,0.15,0.00015729,0,5328.54
36,Bull,0.01417249,0.00004019,0.01437909,382187.88,360554.60,5184.45,60.00,0.09,0.00016641,0,5109.96
37,Bull,0.01437909,0.00005614,0.01456309,497399.03,469244.37,6833.65,60.00,0.09,0.00012787,0,6747.31
38,Bull,0.01456309,-0.00005125,0.01462083,583521.31,550491.80,8048.65,60.00,0.09,0.00010899,0,8016.86
39,Bull,0.01462083,0.00004377,0.01477383,582268.24,549309.66,8115.41,60.00,0.09,0.00010923,0,8031.37
40,Bull,0.01477383,0.00004824,0.01492242,633806.62,597930.78,8922.57,60.00,0.09,0.00010035,0,8833.73
41,Bull,0.01492242,0.00004349,0.01506920,615786.96,580931.09,8754.17,60.00,0.09,0.00010328,0,8668.90
42,Bull,0.01506920,0.00005413,0.01520959,737325.34,695589.94,10579.64,60.00,0.09,0.00008626,0,10481.98
43,Bull,0.01520959,0.00005387,0.01533652,870460.82,821189.46,12594.19,60.00,0.09,0.00007306,0,12489.95
44,Bull,0.01533652,0.00004503,0.01545620,852012.13,803785.03,12423.46,60.00,0.09,0.00007465,0,12327.26
45,Bull,0.01545620,0.00005583,0.01557403,1025862.67,967794.98,15072.46,60.00,0.09,0.00006200,0,14958.43
46,Bull,0.01557403,-0.00005884,0.01556442,1291836.18,1218713.38,18968.57,60.00,0.09,0.00004923,0,18980.27
47,Bull,0.01556442,0.00004445,0.01566059,1229895.79,1160279.05,18170.65,60.00,0.09,0.00005171,0,18059.07
48,Bull,0.01566059,0.00004527,0.01575953,1185046.32,1117968.22,17618.65,60.00,0.09,0.00005367,0,17508.04
49,Bull,0.01575953,0.00004150,0.01586217,1040260.11,981377.46,15566.77,60.00,0.09,0.00006114,0,15466.04
50,Bull,0.01586217,0.00004277,0.01597296,935045.69,882118.58,14090.04,60.00,0.09,0.00006802,0,13992.31
51,Bull,0.01597296,-0.00005508,0.01601649,1074863.82,1014022.47,16241.08,100.00,0.15,0.00009862,0,16196.94
52,Bull,0.01601649,-0.00006779,0.01601861,1516392.57,1430559.02,22915.56,100.00,0.15,0.00006990,0,22912.54
53,Bull,0.01601861,0.00004187,0.01614071,1321106.40,1246326.79,20116.60,100.00,0.15,0.00008024,0,19964.42
54,Bull,0.01614071,0.00004308,0.01627398,1175335.62,1108807.19,18044.70,100.00,0.15,0.00009019,0,17896.94
55,Bull,0.01627398,0.00004486,0.01641699,1079986.97,1018855.63,16726.54,100.00,0.15,0.00009815,0,16580.83
56,Bull,0.01641699,0.00005126,0.01656255,1124086.99,1060459.42,17563.91,100.00,0.15,0.00009430,0,17409.55
57,Bull,0.01656255,-0.00006207,0.01657596,1404295.52,1324807.09,21959.95,100.00,0.15,0.00007548,0,21942.18
58,Bull,0.01657596,-0.00002748,0.01668505,776103.34,732172.97,12216.35,100.00,0.15,0.00013658,0,12136.47
59,Bull,0.01668505,0.00007146,0.01685218,1108010.08,1045292.53,17615.46,100.00,0.15,0.00009567,0,17440.76
60,Bull,0.01685218,0.00006585,0.01699148,1443138.27,1361451.20,23133.07,100.00,0.15,0.00007345,0,22943.42
61,Bear,0.01699148,0.00001242,0.01710440,1054696.71,994996.90,17018.83,100.00,0.15,0.00010050,0,16906.47
62,Bear,0.01710440,0.00001537,0.01723161,947783.84,894135.70,15407.40,100.00,0.15,0.00011184,0,15293.66
63,Bear,0.01723161,0.00001613,0.01736720,887331.76,837105.44,14538.18,100.00,0.15,0.00011946,0,14424.68
64,Bear,0.01736720,0.00001526,0.01751842,779671.68,735539.32,12885.49,100.00,0.15,0.00013595,0,12774.26
65,Bear,0.01751842,0.00002038,0.01765566,907065.90,855722.55,15108.35,100.00,0.15,0.00011686,0,14990.91
66,Bear,0.01765566,0.00001899,0.01778332,975417.54,920205.22,16364.30,100.00,0.15,0.00010867,0,16246.83
67,Bear,0.01778332,0.00002131,0.01789532,1168743.34,1102588.05,19731.17,100.00,0.15,0.00009070,0,19607.67
68,Bear,0.01789532,-0.00001828,0.01796581,1194126.77,1126534.68,20239.10,100.00,0.15,0.00008877,0,20159.70
69,Bear,0.01796581,0.00002130,0.01806198,1415598.96,1335470.72,24121.25,100.00,0.15,0.00007488,0,23992.81
70,Bear,0.01806198,-0.00002497,0.01803702,1956810.76,1846047.88,33297.19,100.00,0.15,0.00005417,100,33343.29
71,Bear,0.01803702,-0.00001371,0.01809456,1487636.52,1403430.68,25394.46,100.00,0.15,0.00007125,0,25313.70
72,Bear,0.01809456,0.00001279,0.01820817,1051336.18,991826.58,18059.35,100.00,0.15,0.00010082,0,17946.66
73,Bear,0.01820817,0.00001894,0.01832405,1093418.29,1031526.69,18901.75,100.00,0.15,0.00009694,0,18782.21
74,Bear,0.01832405,0.00001756,0.01844275,1048056.21,988732.27,18234.95,100.00,0.15,0.00010114,0,18117.58
75,Bear,0.01844275,0.00002120,0.01855195,1204598.98,1136414.13,21082.69,100.00,0.15,0.00008800,0,20958.61
76,Bear,0.01855195,0.00001554,0.01867256,1008760.70,951661.04,17769.95,100.00,0.15,0.00010508,0,17655.16
77,Bear,0.01867256,0.00001597,0.01881137,862912.98,814068.85,15313.75,100.00,0.15,0.00012284,0,15200.75
78,Bear,0.01881137,-0.00002104,0.01890015,965237.65,910601.56,17210.51,100.00,0.15,0.00010982,0,17129.67
79,Bear,0.01890015,-0.00001801,0.01899740,919668.77,867612.05,16482.37,100.00,0.15,0.00011526,0,16398.00
80,Bear,0.01899740,0.00001811,0.01913641,876737.11,827110.48,15827.93,100.00,0.15,0.00012090,0,15712.95
81,Bear,0.01913641,0.00001929,0.01927566,883673.46,833654.20,16069.23,100.00,0.15,0.00011995,0,15953.15
82,Bear,0.01927566,0.00002185,0.01940334,1001576.90,944883.87,18333.90,100.00,0.15,0.00010583,0,18213.26
83,Bear,0.01940334,0.00002059,0.01952368,1062603.19,1002455.84,19571.62,100.00,0.15,0.00009976,0,19450.99
84,Bear,0.01952368,-0.00002321,0.01958437,1263381.89,1191869.70,23342.01,100.00,0.15,0.00008390,0,23269.68
85,Bear,0.01958437,0.00001771,0.01969488,1142199.33,1077546.54,21222.15,100.00,0.15,0.00009280,0,21103.07
86,Bear,0.01969488,0.00002002,0.01980618,1161260.44,1095528.72,21698.24,100.00,0.15,0.00009128,0,21576.30
87,Bear,0.01980618,0.00002230,0.01990956,1307367.76,1233365.81,24555.77,100.00,0.15,0.00008108,0,24428.26
88,Bear,0.01990956,-0.00002053,0.01996767,1347947.77,1271648.84,25391.86,100.00,0.15,0.00007864,0,25317.96
89,Bear,0.01996767,0.00001737,0.02007544,1172540.55,1106170.33,22206.85,100.00,0.15,0.00009040,0,22087.64
90,Bear,0.02007544,0.00001976,0.02018704,1154166.74,1088836.55,21980.39,100.00,0.15,0.00009184,0,21858.87
91,Bear,0.02018704,0.00001751,0.02031042,1001257.16,944582.23,19184.86,100.00,0.15,0.00010587,0,19068.32
92,Bear,0.02031042,0.00001990,0.02043838,980911.89,925388.58,18913.44,100.00,0.15,0.00010806,0,18795.03
93,Bear,0.02043838,0.00002234,0.02055960,1071992.29,1011313.48,20792.20,100.00,0.15,0.00009888,0,20669.61
94,Bear,0.02055960,0.00001736,0.02069409,904962.34,853738.06,17667.33,100.00,0.15,0.00011713,0,17552.51
95,Bear,0.02069409,0.00002156,0.02082809,942657.22,889299.27,18522.41,100.00,0.15,0.00011245,0,18403.24
96,Bear,0.02082809,0.00001988,0.02096578,899782.18,848851.11,17796.82,100.00,0.15,0.00011781,0,17679.95
97,Bear,0.02096578,0.00001970,0.02111087,845354.55,797504.29,16836.01,100.00,0.15,0.00012539,0,16720.30
98,Bear,0.02111087,0.00001819,0.02127456,728506.20,687270.00,14621.37,100.00,0.15,0.00014550,0,14508.86
99,Bear,0.02127456,-0.00002338,0.02138357,800662.97,755342.43,16151.92,100.00,0.15,0.00013239,0,16069.58
100,Bear,0.02138357,0.00002292,0.02152999,858352.94,809766.92,17434.27,100.00,0.15,0.00012349,0,17315.71
101,Bear,0.02152999,0.00002179,0.02167378,868867.69,819686.50,17765.70,100.00,0.15,0.00012200,0,17647.84
102,Bear,0.02167378,-0.00002050,0.02178228,821723.29,775210.65,16885.85,100.00,0.15,0.00012900,0,16801.74
103,Bear,0.02178228,0.00002051,0.02193977,773839.60,730037.35,16016.85,100.00,0.15,0.00013698,0,15901.88
104,Bear,0.02193977,0.00002488,0.02208543,877688.68,828008.19,18286.91,100.00,0.15,0.00012077,0,18166.31
105,Bear,0.02208543,0.00002143,0.02223133,851596.62,803393.04,17860.49,100.00,0.15,0.00012447,0,17743.28
106,Bear,0.02223133,-0.00001949,0.02235378,746757.48,704488.19,15747.97,100.00,0.15,0.00014195,0,15661.71
107,Bear,0.02235378,-0.00002206,0.02247553,737045.15,695325.61,15627.81,100.00,0.15,0.00014382,0,15543.16
108,Bear,0.02247553,0.00001929,0.02266242,632443.74,596645.04,13521.42,100.00,0.15,0.00016760,0,13409.92
109,Bear,0.02266242,0.00002257,0.02285331,629750.37,594104.12,13577.25,100.00,0.15,0.00016832,0,13463.84
110,Bear,0.02285331,0.00002362,0.02303977,650949.29,614103.10,14148.80,100.00,0.15,0.00016284,0,14034.29
111,Bear,0.02303977,0.00002349,0.02322296,663753.88,626182.90,14541.82,100.00,0.15,0.00015970,0,14427.11
112,Bear,0.02322296,-0.00002446,0.02335013,699069.43,659499.46,15399.40,100.00,0.15,0.00015163,0,15315.53
113,Bear,0.02335013,0.00002006,0.02354668,600627.75,566629.95,13342.25,100.00,0.15,0.00017648,0,13230.89
114,Bear,0.02354668,-0.00002859,0.02366342,729338.28,688054.98,16281.74,100.00,0.15,0.00014534,0,16201.41
115,Bear,0.02366342,0.00002510,0.02382556,773513.72,729729.93,17386.22,100.00,0.15,0.00013704,0,17267.91
116,Bear,0.02382556,0.00002415,0.02398489,784152.00,739766.04,17743.21,100.00,0.15,0.00013518,0,17625.34
117,Bear,0.02398489,0.00002480,0.02414041,810934.43,765032.48,18468.19,100.00,0.15,0.00013071,0,18349.22
118,Bear,0.02414041,0.00002195,0.02430611,737378.03,695639.65,16908.29,100.00,0.15,0.00014375,0,16793.02
119,Bear,0.02430611,0.00002275,0.02448247,690029.46,650971.19,15937.38,100.00,0.15,0.00015362,0,15822.58
120,Bear,0.02448247,0.00002282,0.02467007,643295.86,606882.89,14971.84,100.00,0.15,0.00016478,0,14857.99
121,Bear,0.02467007,-0.00001933,0.02486104,504051.90,475520.66,11821.94,100.00,0.15,0.00021030,0,11731.13
122,Bear,0.02486104,0.00002051,0.02513640,415929.89,392386.68,9863.19,100.00,0.15,0.00025485,0,9755.14
123,Bear,0.02513640,-0.00001826,0.02546898,302130.72,285028.98,7259.40,100.00,0.15,0.00035084,0,7164.60
124,Bear,0.02546898,-0.00002370,0.02582232,281139.22,265225.68,6848.74,100.00,0.15,0.00037704,0,6755.03
125,Bear,0.02582232,-0.00002973,0.02612006,323699.45,305376.84,7976.46,100.00,0.15,0.00032746,0,7885.54
126,Bear,0.02612006,0.00002975,0.02643733,368666.99,347799.04,9194.88,100.00,0.15,0.00028752,0,9084.53
127,Bear,0.02643733,-0.00002672,0.02669510,372594.40,351504.15,9383.44,100.00,0.15,0.00028449,0,9292.83
128,Bear,0.02669510,0.00002402,0.02703524,335324.23,316343.62,8552.42,100.00,0.15,0.00031611,0,8444.82
129,Bear,0.02703524,0.00002884,0.02736045,357651.18,337406.77,9231.60,100.00,0.15,0.00029638,0,9121.87
130,Bear,0.02736045,0.00002329,0.02773195,304409.01,287178.31,7964.02,100.00,0.15,0.00034822,0,7857.33
131,Bear,0.02773195,-0.00003284,0.02799315,360498.17,340092.61,9520.26,100.00,0.15,0.00029404,0,9431.43
132,Bear,0.02799315,-0.00003089,0.02822876,397753.52,375239.17,10592.54,100.00,0.15,0.00026650,0,10504.13
133,Bear,0.02822876,0.00003238,0.02849348,456227.49,430403.30,12263.69,100.00,0.15,0.00023234,0,12149.75
134,Bear,0.02849348,0.00003589,0.02871381,574733.63,542201.54,15568.67,100.00,0.15,0.00018443,0,15449.21
135,Bear,0.02871381,0.00003348,0.02890548,670063.89,632135.75,18272.18,100.00,0.15,0.00015819,0,18151.02
136,Bear,0.02890548,0.00002981,0.02908867,691076.45,651958.91,18964.62,100.00,0.15,0.00015338,0,18845.18
137,Bear,0.02908867,-0.00002888,0.02921431,686031.39,647199.43,18907.48,100.00,0.15,0.00015451,0,18826.17
138,Bear,0.02921431,0.00003508,0.02937805,823886.12,777251.06,22834.12,100.00,0.15,0.00012866,0,22706.85
139,Bear,0.02937805,0.00002990,0.02953436,838598.00,791130.19,23365.52,100.00,0.15,0.00012640,0,23241.86
140,Bear,0.02953436,0.00002814,0.02969516,799021.13,753793.52,22384.02,100.00,0.15,0.00013266,0,22262.81
141,Bear,0.02969516,0.00003899,0.02983518,1049205.16,989816.19,29531.34,100.00,0.15,0.00010103,0,29392.75
142,Bear,0.02983518,-0.00003108,0.02980410,1093118.51,1031243.87,30735.29,100.00,0.15,0.00009697,100,30767.35
143,Bear,0.02980410,-0.00002531,0.02989295,928429.38,875876.77,26182.54,100.00,0.15,0.00011417,0,26104.72
144,Bear,0.02989295,0.00003260,0.03003024,1012503.78,955192.24,28684.66,100.00,0.15,0.00010469,0,28553.52
145,Bear,0.03003024,0.00003136,0.03016185,1057408.15,997554.86,30088.10,100.00,0.15,0.00010025,0,29956.82
146,Bear,0.03016185,0.00002616,0.03030361,916941.65,865039.29,26213.81,100.00,0.15,0.00011560,0,26091.19
147,Bear,0.03030361,-0.00002395,0.03042596,724556.21,683543.59,20797.47,100.00,0.15,0.00014630,0,20713.84
148,Bear,0.03042596,-0.00003392,0.03052326,807793.77,762069.59,23260.85,100.00,0.15,0.00013122,0,23186.70
149,Bear,0.03052326,0.00003497,0.03067278,925356.77,872978.09,26776.66,100.00,0.15,0.00011455,0,26646.14
150,Bear,0.03067278,0.00003158,0.03081562,952677.12,898752.00,27695.60,100.00,0.15,0.00011127,0,27567.22
151,Bear,0.03081562,0.00002420,0.03098148,748297.51,705941.05,21871.10,100.00,0.15,0.00014165,0,21754.01
152,Bear,0.03098148,0.00003332,0.03114652,804734.29,759183.29,23645.92,100.00,0.15,0.00013172,0,23520.62
153,Bear,0.03114652,0.00003098,0.03130991,800542.82,755229.07,23646.16,100.00,0.15,0.00013241,0,23522.76
154,Bear,0.03130991,0.00002509,0.03150024,641515.08,605202.91,19064.03,100.00,0.15,0.00016523,0,18948.85
155,Bear,0.03150024,-0.00003846,0.03159712,783194.38,738862.62,23345.93,100.00,0.15,0.00013534,0,23274.35
156,Bear,0.03159712,0.00004193,0.03163905,1039280.64,980453.44,31020.62,100.00,0.15,0.00010199,100,30979.51
157,Bear,0.03163905,0.00003262,0.03167167,1071392.34,1010747.49,32012.06,100.00,0.15,0.00009894,100,31979.09
158,Bear,0.03167167,0.00004101,0.03163628,1387357.55,1308827.88,41406.44,100.00,0.15,0.00007640,200,41452.76
159,Bear,0.03163628,0.00003172,0.03159179,1390961.19,1312227.54,41455.61,100.00,0.15,0.00007621,200,41513.99
160,Bear,0.03159179,0.00002653,0.03161831,1167880.41,1101773.97,34836.23,100.00,0.15,0.00009076,100,34807.01
161,Bear,0.03161831,0.00003234,0.03165066,1194651.29,1127029.52,35671.22,100.00,0.15,0.00008873,100,35634.77
162,Bear,0.03165066,0.00003565,0.03160754,1345676.09,1269505.75,40125.95,100.00,0.15,0.00007877,200,40180.69
163,Bear,0.03160754,0.00003348,0.03156666,1425516.02,1344826.43,42451.68,100.00,0.15,0.00007436,200,42506.65
164,Bear,0.03156666,0.00002990,0.03151805,1350206.25,1273779.48,40147.05,100.00,0.15,0.00007851,200,40208.96
165,Bear,0.03151805,0.00003971,0.03149545,1701051.06,1604765.16,50542.79,100.00,0.15,0.00006231,200,50579.07
166,Bear,0.03149545,0.00003126,0.03146393,1688499.04,1592923.62,50119.64,100.00,0.10,0.00006278,200,50169.84
167,Bear,0.03146393,0.00003735,0.03144840,2004342.43,1890889.08,59465.43,100.00,0.10,0.00005289,200,59494.80
168,Bear,0.03144840,0.00002787,0.03141660,1776375.86,1675826.29,52648.76,100.00,0.10,0.00005967,200,52702.05
169,Bear,0.03141660,0.00002926,0.03138180,1654703.41,1561040.95,48988.28,100.00,0.10,0.00006406,200,49042.59
170,Bear,0.03138180,0.00004035,0.03137233,2127605.68,2007175.17,62969.76,100.00,0.15,0.00004982,200,62988.77
171,Bear,0.03137233,0.00004123,0.03137565,2795998.47,2637734.41,82760.62,100.00,0.10,0.00003791,200,82751.87
172,Bear,0.03137565,0.00002777,0.03136059,2474836.81,2334751.70,73219.18,100.00,0.10,0.00004283,200,73254.34
